Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,58.63,58.98,57.97,58.88,62906900,58.66
2011-11-07,57.76,58.25,57.17,58.21,65559000,57.99
2011-11-04,57.82,58.05,57.22,57.80,61527800,57.58
2011-11-03,57.37,58.18,56.71,58.10,78994200,57.88
2011-11-02,57.03,57.16,56.38,56.92,65178800,56.70
2011-11-01,56.52,57.91,56.12,56.44,99933000,56.22
2011-10-31,58.43,58.64,57.91,57.95,60520200,57.73
2011-10-28,58.52,59.01,58.50,58.94,42950000,58.72
2011-10-27,58.64,59.20,58.03,58.85,104455500,58.63
2011-10-26,57.66,57.78,56.21,57.27,98193800,57.05
2011-10-25,58.30,58.32,57.22,57.34,65299200,57.12
2011-10-24,57.51,58.65,57.31,58.49,61449500,58.27
2011-10-21,57.19,57.66,56.78,57.30,60455800,57.08
2011-10-20,56.86,56.92,55.79,56.59,80378300,56.37
2011-10-19,57.67,57.85,56.68,56.87,67639400,56.65
2011-10-18,57.19,58.29,56.66,57.99,91434600,57.77
2011-10-17,57.91,58.09,56.97,57.28,65161300,57.06
2011-10-14,57.82,58.19,57.51,58.18,65643600,57.96
2011-10-13,56.49,57.19,56.43,57.12,63443700,56.90
2011-10-12,56.86,57.23,56.56,56.60,85627600,56.38
2011-10-11,55.79,56.46,55.70,56.32,66449100,56.11
2011-10-10,54.99,55.94,54.89,55.94,48230200,55.73
2011-10-07,54.40,54.66,53.72,54.07,72525200,53.86
2011-10-06,53.46,54.44,53.21,54.43,71939200,54.22
2011-10-05,52.06,53.68,51.66,53.53,108825700,53.33
2011-10-04,50.62,52.29,50.10,52.19,137013700,51.99
2011-10-03,52.02,52.85,51.11,51.14,99149500,50.95
2011-09-30,53.16,53.61,52.46,52.49,104870100,52.29
2011-09-29,55.36,55.43,52.97,53.88,116900200,53.67
2011-09-28,55.59,55.97,54.40,54.53,76757100,54.32
2011-09-27,55.71,56.20,54.98,55.35,81148600,55.14
2011-09-26,54.42,54.88,53.21,54.78,96261400,54.57
2011-09-23,53.13,54.38,53.09,54.15,85921800,53.94
2011-09-22,53.97,54.46,52.75,53.58,151885500,53.38
2011-09-21,56.65,56.93,55.37,55.38,79938000,55.17
2011-09-20,56.90,57.35,56.23,56.36,66570100,56.15
2011-09-19,55.89,56.91,55.43,56.61,73042900,56.39
2011-09-16,56.20,56.65,56.09,56.59,91902100,56.37
2011-09-15,55.96,56.28,55.39,56.18,83536100,55.86
2011-09-14,54.86,55.98,54.32,55.36,90757300,55.05
2011-09-13,54.06,54.69,53.80,54.58,59020000,54.27
2011-09-12,52.59,53.90,52.57,53.86,65973000,53.56
2011-09-09,54.01,54.24,52.85,53.18,63663500,52.88
2011-09-08,54.36,55.17,54.21,54.39,61422800,54.08
2011-09-07,54.05,54.65,53.90,54.64,48952200,54.33
2011-09-06,52.04,53.37,51.91,53.29,52992200,52.99
2011-09-02,53.58,54.61,52.99,53.28,58185700,52.98
2011-09-01,55.20,55.64,54.46,54.56,57158400,54.25
2011-08-31,55.30,55.74,54.60,55.06,60900400,54.75
2011-08-30,54.41,55.30,54.11,54.97,61617900,54.66
2011-08-29,53.66,54.67,53.64,54.61,45985800,54.30
2011-08-26,51.66,53.31,51.15,53.13,91573300,52.83
2011-08-25,52.66,52.90,51.65,51.83,93623700,51.54
2011-08-24,52.13,52.79,51.71,52.69,80197700,52.39
2011-08-23,50.55,52.28,50.34,52.28,75688400,51.98
2011-08-22,51.23,51.24,50.06,50.21,77107700,49.93
2011-08-19,50.42,51.67,49.99,50.03,96674600,49.75
2011-08-18,52.13,52.14,50.48,50.95,130019400,50.66
2011-08-17,53.97,54.42,53.02,53.58,84416600,53.28
2011-08-16,53.83,54.35,53.18,53.90,89219200,53.60
2011-08-15,53.79,54.36,53.53,54.36,73554300,54.05
2011-08-12,53.43,53.90,52.88,53.57,90483300,53.27
2011-08-11,51.59,53.69,51.34,53.10,143825300,52.80
2011-08-10,51.83,53.04,50.80,50.86,205917900,50.57
2011-08-09,51.35,53.08,49.93,53.03,193707100,52.73
2011-08-08,52.18,53.12,50.59,50.59,204804500,50.30
2011-08-05,54.72,55.03,52.32,53.83,214111800,53.53
2011-08-04,56.00,56.09,54.17,54.17,132830000,53.86
2011-08-03,56.34,56.88,55.35,56.81,103496200,56.49
2011-08-02,57.46,57.72,56.21,56.27,90853300,55.95
2011-08-01,58.70,58.82,57.03,57.73,85421100,57.40
2011-07-29,57.72,58.61,57.44,58.00,82860500,57.67
2011-07-28,58.12,58.93,57.89,58.19,61031900,57.86
2011-07-27,59.24,59.29,57.94,58.09,83969500,57.76
2011-07-26,59.44,59.83,59.32,59.63,40918900,59.29
2011-07-25,59.13,59.81,59.02,59.48,48916100,59.14
2011-07-22,58.96,59.70,58.92,59.60,43620400,59.26
2011-07-21,58.66,59.32,58.34,58.99,70148800,58.66
2011-07-20,59.18,59.19,58.50,58.60,57085500,58.27
2011-07-19,58.09,58.90,58.09,58.85,73904600,58.52
2011-07-18,57.53,57.79,56.98,57.54,59512200,57.21
2011-07-15,57.73,57.85,57.31,57.85,68281500,57.52
2011-07-14,57.91,58.18,56.87,57.09,98774200,56.77
2011-07-13,57.94,58.34,57.55,57.76,82378100,57.43
2011-07-12,57.95,58.07,57.46,57.52,83958900,57.19
2011-07-11,58.41,58.71,57.76,57.96,52080800,57.63
2011-07-08,58.68,59.04,58.37,59.03,69533600,58.70
2011-07-07,58.83,59.36,58.74,59.19,54799800,58.86
2011-07-06,58.13,58.49,57.94,58.39,49282700,58.06
2011-07-05,57.97,58.26,57.83,58.20,43128800,57.87
2011-07-01,57.08,57.99,56.92,57.91,53203900,57.58
2011-06-30,56.50,57.09,56.47,57.05,50484000,56.73
2011-06-29,56.20,56.41,55.90,56.30,65407300,55.98
2011-06-28,55.37,56.08,55.29,56.07,47028800,55.75
2011-06-27,54.44,55.53,54.32,55.25,49968900,54.94
2011-06-24,55.08,55.13,54.27,54.38,56298300,54.07
2011-06-23,54.24,55.37,54.06,55.34,80743300,55.03
2011-06-22,55.00,55.32,54.82,54.83,36833300,54.52
2011-06-21,54.26,55.29,54.03,55.23,55892800,54.92
2011-06-20,53.64,54.23,53.64,54.07,37402900,53.76
2011-06-17,54.45,54.60,53.63,53.79,70337000,53.49
2011-06-16,54.32,54.50,53.62,54.08,66316200,53.65
2011-06-15,54.81,55.15,54.18,54.29,59022400,53.86
2011-06-14,55.06,55.47,55.03,55.34,40565300,54.90
2011-06-13,54.64,54.93,54.45,54.64,37745900,54.21
2011-06-10,55.23,55.34,54.59,54.64,53740600,54.21
2011-06-09,55.41,55.76,55.23,55.49,45307500,55.05
2011-06-08,55.67,55.77,55.23,55.39,46426400,54.95
2011-06-07,56.04,56.26,55.75,55.79,46311100,55.35
2011-06-06,56.22,56.53,55.86,55.89,50175600,55.45
2011-06-03,56.55,56.99,56.27,56.35,57773700,55.91
2011-06-02,57.20,57.41,56.89,57.21,50198100,56.76
2011-06-01,58.22,58.36,57.04,57.09,51795000,56.64
2011-05-31,57.97,58.36,57.67,58.36,47590100,57.90
2011-05-27,57.24,57.49,57.19,57.43,30127200,56.98
2011-05-26,56.62,57.30,56.61,57.14,40564100,56.69
2011-05-25,56.50,57.06,56.47,56.79,41369000,56.34
2011-05-24,57.06,57.07,56.56,56.57,39314800,56.12
2011-05-23,56.98,57.15,56.65,56.92,43700000,56.47
2011-05-20,58.15,58.21,57.69,57.77,44703300,57.31
2011-05-19,58.22,58.34,57.85,58.21,35015800,57.75
2011-05-18,57.48,58.14,57.41,58.04,42351100,57.58
2011-05-17,57.10,57.57,56.98,57.56,63136000,57.11
2011-05-16,58.14,58.32,57.27,57.40,73115300,56.95
2011-05-13,58.97,59.07,58.39,58.41,63506600,57.95
2011-05-12,58.58,59.19,58.24,59.11,66100000,58.64
2011-05-11,59.10,59.31,58.36,58.76,61900000,58.30
2011-05-10,58.86,59.28,58.78,59.19,38053600,58.72
2011-05-09,58.57,58.92,58.34,58.69,40022000,58.23
2011-05-06,58.86,59.20,58.31,58.47,72507000,58.01
2011-05-05,58.31,58.97,58.08,58.28,72200000,57.82
2011-05-04,58.72,58.87,58.11,58.60,53097200,58.14
2011-05-03,58.94,59.00,58.33,58.69,38100000,58.23
2011-05-02,59.17,59.34,58.82,58.97,48149400,58.51
2011-04-29,59.02,59.29,58.98,59.08,44831200,58.61
2011-04-28,59.04,59.23,58.88,59.13,48100000,58.66
2011-04-27,58.93,59.29,58.66,59.22,56465500,58.75
2011-04-26,58.64,59.03,58.51,58.82,49373400,58.36
2011-04-25,58.39,58.52,58.28,58.49,25376800,58.03
2011-04-21,58.44,58.47,58.16,58.34,43666800,57.88
2011-04-20,57.60,57.94,57.53,57.88,67259000,57.42
2011-04-19,56.40,56.60,56.10,56.60,38608400,56.15
2011-04-18,56.08,56.27,55.32,56.25,69065000,55.81
2011-04-15,56.53,56.87,56.28,56.65,68530000,56.20
2011-04-14,56.46,56.83,56.23,56.75,53544100,56.30
2011-04-13,56.79,57.00,56.40,56.85,49979800,56.40
2011-04-12,56.50,56.64,56.15,56.37,50422800,55.93
2011-04-11,57.17,57.29,56.56,56.76,42451700,56.31
2011-04-08,57.48,57.57,56.65,56.95,42782200,56.50
2011-04-07,57.24,57.60,56.81,57.22,60697000,56.77
2011-04-06,57.56,57.73,56.93,57.26,49513800,56.81
2011-04-05,57.16,57.49,57.00,57.12,55386700,56.67
2011-04-04,57.62,57.68,57.02,57.27,48659100,56.82
2011-04-01,57.72,57.90,57.29,57.46,68031800,57.01
2011-03-31,57.27,57.48,57.15,57.43,50004300,56.98
2011-03-30,57.36,57.43,57.08,57.35,44935900,56.90
2011-03-29,56.40,57.08,56.23,57.08,47994800,56.63
2011-03-28,57.09,57.10,56.50,56.53,37824000,56.08
2011-03-25,56.88,57.22,56.73,56.84,74131100,56.39
2011-03-24,56.13,56.82,55.82,56.70,69502400,56.25
2011-03-23,55.20,55.87,54.82,55.71,60365100,55.27
2011-03-22,55.58,55.61,55.28,55.40,36162100,54.96
2011-03-21,55.28,55.78,54.50,55.50,57423000,55.06
2011-03-18,55.22,55.22,54.41,54.45,94887200,54.02
2011-03-17,55.01,55.24,54.13,54.65,94434500,54.14
2011-03-16,55.03,55.34,53.77,54.15,176507700,53.65
2011-03-15,54.64,55.82,54.47,55.49,101276500,54.98
2011-03-14,56.18,56.59,55.86,56.29,73565800,55.77
2011-03-11,55.82,56.66,55.82,56.49,81679400,55.97
2011-03-10,56.39,56.52,55.91,56.14,102894400,55.62
2011-03-09,57.21,57.27,56.72,57.03,84764200,56.50
2011-03-08,57.12,57.68,56.77,57.42,62399100,56.89
2011-03-07,58.21,58.26,56.67,57.19,98470000,56.66
2011-03-04,58.25,58.26,57.59,57.97,62328400,57.43
2011-03-03,57.67,58.37,57.67,58.27,64146600,57.73
2011-03-02,56.81,57.51,56.79,57.14,61552900,56.61
2011-03-01,58.02,58.02,56.70,56.84,91993900,56.31
2011-02-28,57.88,58.05,57.43,57.77,51402800,57.23
2011-02-25,57.18,57.72,57.12,57.65,54094600,57.12
2011-02-24,56.68,57.03,56.14,56.86,98716100,56.33
2011-02-23,57.03,57.23,56.13,56.56,97716100,56.04
2011-02-22,57.93,58.13,56.94,57.03,92598100,56.50
2011-02-18,58.86,58.97,58.51,58.73,44334300,58.19
2011-02-17,58.59,58.97,58.55,58.86,38338200,58.31
2011-02-16,58.65,59.04,58.63,58.88,53061700,58.33
2011-02-15,58.44,58.57,58.23,58.50,39723800,57.96
2011-02-14,58.44,58.66,58.38,58.58,48506100,58.04
2011-02-11,57.85,58.48,57.77,58.44,47853500,57.90
2011-02-10,57.55,58.10,57.49,58.02,70194700,57.48
2011-02-09,57.94,58.12,57.75,57.93,62540800,57.39
2011-02-08,57.67,58.07,57.56,58.03,38099900,57.49
2011-02-07,57.49,57.97,57.40,57.65,45627100,57.12
2011-02-04,57.05,57.42,56.90,57.38,47647800,56.85
2011-02-03,56.85,57.14,56.40,57.06,45341900,56.53
2011-02-02,56.93,57.17,56.84,56.96,48661000,56.43
2011-02-01,56.42,57.18,56.36,57.05,76952900,56.52
2011-01-31,55.81,56.16,55.39,56.00,70571300,55.48
2011-01-28,57.17,57.22,55.47,55.73,123327800,55.21
2011-01-27,57.01,57.35,56.92,57.18,53656100,56.65
2011-01-26,56.61,56.98,56.45,56.83,60451500,56.30
2011-01-25,56.17,56.55,56.05,56.53,55305100,56.01
2011-01-24,55.79,56.46,55.68,56.45,64103300,55.93
2011-01-21,56.39,56.49,55.65,55.68,59673300,55.16
2011-01-20,56.27,56.35,55.68,56.11,92357800,55.59
2011-01-19,57.26,57.26,56.32,56.51,67767200,55.99
2011-01-18,56.57,57.23,56.49,57.16,65805600,56.63
2011-01-14,56.60,57.02,56.46,57.00,43867400,56.47
2011-01-13,56.60,56.73,56.41,56.58,47364500,56.05
2011-01-12,56.43,56.56,56.20,56.56,51979300,56.04
2011-01-11,56.31,56.36,55.95,56.16,56663800,55.64
2011-01-10,55.75,56.18,55.58,56.08,55551800,55.56
2011-01-07,56.02,56.05,55.32,55.87,72261700,55.35
2011-01-06,55.80,55.96,55.68,55.92,46139600,55.40
2011-01-05,55.10,55.76,55.07,55.74,43787400,55.22
2011-01-04,55.51,55.55,54.92,55.27,43851500,54.76
2011-01-03,54.97,55.69,54.95,55.31,90994300,54.80
