|---Maximum Temperature---|---Minimum Temperature---|----Precipitation---|-------Snowfall-----|------Snowdepth-----|--Heat--|--Cool--
MO DY AVG  NO  HI   YR  LO   YR AVG  NO  HI   YR  LO   YR   AVG  NO  HIGH   YR   AVG  NO  HIGH   YR   AVG  NO  HIGH   YR HDD   NO  CDD  NO
 1 30  58  47  67 1984  46 1975  39  47  58 1967  26 1975 0.171  49  1.86 1967  0.00  50   0.0 2003   0.0  50    0. 2003 16.3  47  0.0  47
 1 31  59  49  71 1976  48 1979  39  50  54 1986  28 2002 0.103  49  1.41 1963  0.00  50   0.0 2003   0.0  50    0. 2003 16.5  49  0.0  49
 2  1  59  48  75 1976  50 1979  40  48  58 1963  31 2001 0.098  48  1.74 1963  0.00  48   0.0 2003   0.0  48    0. 2003 15.5  48  0.0  48
 2  2  59  47  77 1976  48 1971  39  48  58 1963  30 2001 0.054  48  0.75 1958  0.00  48   0.0 2003   0.0  48    0. 2003 16.3  47  0.0  47
 2  3  60  48  75 1976  49 1965  39  48  57 1963  28 1979 0.115  48  3.75 1998  0.00  48   0.0 2003   0.0  48    0. 2003 15.8  48  0.0  48
 2  4  61  47  73 1984  47 1989  39  47  54 1963  28 1979 0.050  48  0.48 1996  0.00  48   0.0 2003   0.0  48    0. 2003 15.4  47  0.0  47
 2  5  60  47  74 1963  47 1989  40  47  54 1996  30 1989 0.104  48  1.27 1991  0.00  48   0.0 2003   0.0  48    0. 2003 15.1  47  0.0  47
 2  6  60  47  68 2001  45 1976  41  47  55 1960  28 1989 0.074  48  0.75 1973  0.00  48   0.0 2003   0.0  48    0. 2003 14.7  47  0.0  47
 2  7  60  47  71 1956  44 1989  41  48  54 1960  26 1989 0.108  48  1.00 1998  0.00  48   0.0 2003   0.0  48    0. 2003 14.7  47  0.0  47
 2  8  61  48  72 1956  46 1989  41  47  59 1960  30 1989 0.117  47  1.50 1998  0.00  48   0.0 2003   0.0  48    0. 2003 14.2  47  0.0  47
 2  9  60  48  71 1956  44 1989  41  48  55 1962  30 1994 0.118  47  1.06 1999  0.00  48   0.0 2003   0.0  48    0. 2003 14.7  48  0.0  48
 2 10  60  48  69 1970  47 1994  42  48  59 1963  32 1956 0.087  48  0.66 1962  0.00  48   0.0 2003   0.0  48    0. 2003 13.9  48  0.0  48
 2 11  61  47  74 1988  53 1999  41  48  54 1969  28 2001 0.098  48  1.16 1963  0.00  48   0.0 2003   0.0  48    0. 2003 13.9  47  0.0  47
 2 12  61  47  74 1996  51 1959  42  47  53 1958  28 1994 0.135  48  1.83 1992  0.00  48   0.0 2003   0.0  48    0. 2003 13.6  47  0.0  47
 2 13  61  47  77 1996  52 1973  43  47  54 1957  28 1994 0.125  48  0.91 1978  0.00  48   0.0 2003   0.0  48    0. 2003 13.1  47  0.0  47
 2 14  61  48  78 1977  50 1965  42  48  55 2000  28 1994 0.157  48  1.58 2000  0.00  48   0.0 2003   0.0  48    0. 2003 13.6  48  0.0  48
 2 15  61  48  80 1977  48 1990  41  48  57 1982  27 1990 0.131  48  1.88 1986  0.00  48   0.0 2003   0.0  48    0. 2003 14.0  48  0.0  48
 2 16  61  47  76 1977  52 2001  42  47  55 1996  30 1966 0.150  48  1.61 1982  0.00  48   0.0 2003   0.0  48    0. 2003 13.7  47  0.0  47
 2 17  60  48  73 1977  49 1990  42  48  57 1996  30 1956 0.122  48  1.40 1980  0.00  48   0.0 2003   0.0  48    0. 2003 14.0  48  0.0  48
 2 18  61  47  75 1977  48 1990  41  47  56 1980  29 1956 0.111  48  1.03 1986  0.00  48   0.0 2003   0.0  48    0. 2003 14.1  47  0.0  47
 2 19  61  45  77 1977  48 1994  43  45  56 1958  30 1955 0.171  48  1.50 1993  0.00  48   0.0 2003   0.0  48    0. 2003 13.2  45  0.0  45
 2 20  62  47  75 1964  41 1994  42  47  55 1968  30 1990 0.101  48  0.83 1996  0.00  48   0.0 2003   0.0  48    0. 2003 13.5  47  0.0  47
 2 21  63  47  74 1995  49 1959  42  48  55 1968  30 1955 0.105  48  0.95 1979  0.00  48   0.0 2003   0.0  48    0. 2003 12.9  47  0.0  47
 2 22  63  48  84 1981  51 1959  42  47  55 1968  30 1955 0.048  48  0.78 1998  0.00  48   0.0 2003   0.0  48    0. 2003 13.0  47  0.0  47
 2 23  62  47  74 1981  50 2001  41  48  57 1968  30 1955 0.086  48  0.85 2000  0.00  48   0.0 2003   0.0  48    0. 2003 13.8  47  0.0  47
 2 24  63  48  80 1954  50 2001  41  48  60 1957  31 2001 0.067  48  0.70 1983  0.00  48   0.0 2003   0.0  48    0. 2003 13.3  48  0.0  48
 2 25  62  47  78 1954  52 2001  41  47  57 1957  32 1996 0.068  48  1.20 1958  0.00  48   0.0 2003   0.0  48    0. 2003 13.6  47  0.0  47
 2 26  63  46  79 1954  51 1994  42  46  57 1957  30 1964 0.066  48  1.11 1993  0.00  48   0.0 2003   0.0  48    0. 2003 12.7  46  0.0  46
 2 27  62  47  79 1986  48 1962  42  47  57 1957  24 1962 0.071  48  0.93 1955  0.00  48   0.0 2003   0.0  48    0. 2003 13.1  47  0.0  47
 2 28  63  47  79 1954  46 1971  43  47  55 1957  30 1955 0.109  48  1.68 1973  0.00  48   0.0 2003   0.0  48    0. 2003 12.3  47  0.0  47
 2 29  64  12  71 1992  56 2000  44  12  52 1968  36 1956 0.058  12  0.22 1956  0.00  12   0.0 2000   0.0  12    0. 2000 11.4  12  0.0  12
 3  1  62  47  77 1954  52 1962  43  48  53 1988  31 1955 0.101  48  1.16 1983  0.00  48   0.0 2003   0.0  48    0. 2003 12.4  47  0.0  47
 3  2  62  47  78 1954  51 1966  43  47  54 1957  30 1971 0.104  48  1.19 1983  0.00  48   0.0 2003   0.0  48    0. 2003 13.2  47  0.0  47
 3  3  62  48  73 1954  46 1976  42  48  53 1972  32 1976 0.082  48  0.88 1983  0.00  48   0.0 2003   0.0  48    0. 2003 13.4  48  0.0  48
 3  4  62  47  76 1959  52 2001  42  48  55 1978  30 1966 0.050  48  1.03 1991  0.00  48   0.0 2003   0.0  48    0. 2003 13.1  47  0.0  47
 3  5  63  46  76 1959  51 2001  43  45  57 1960  32 1976 0.092  48  0.70 1970  0.00  48   0.0 2003   0.0  48    0. 2003 12.7  45  0.0  45
 3  6  62  47  75 1972  49 1998  42  46  53 1960  31 1971 0.085  48  0.78 1992  0.00  48   0.0 2003   0.0  48    0. 2003 13.1  46  0.0  46
 3  7  63  47  79 1955  53 1956  41  45  55 1960  32 1956 0.050  48  0.82 1975  0.00  48   0.0 2003   0.0  48    0. 2003 13.1  45  0.0  45
 3  8  64  47  76 1972  49 1974  43  47  55 1986  32 2001 0.073  48  1.19 1986  0.00  48   0.0 2003   0.0  48    0. 2003 11.9  47  0.0  47
 3  9  64  48  77 1955  53 1958  44  48  56 1995  33 1974 0.068  48  0.97 1978  0.00  48   0.0 2003   0.0  48    0. 2003 11.6  48  0.0  48
 3 10  63  47  74 1997  55 1999  43  48  56 1995  34 1960 0.061  48  1.40 1995  0.00  48   0.0 2003   0.0  48    0. 2003 12.1  47  0.0  47
 3 11  63  48  76 1997  54 1975  44  46  54 1989  34 1969 0.089  48  1.12 1995  0.00  48   0.0 2003   0.0  48    0. 2003 11.7  46  0.0  46
 3 12  62  47  74 1998   7 2003  43  46  55 1972  33 1956 0.042  48  0.75 1996  0.00  48   0.0 2003   0.0  48    0. 2003 12.1  46  0.0  46
 3 13  63  47  74 1979  51 1969  43  46  55 1984  31 1954 0.147  48  1.17 1968  0.00  48   0.0 2003   0.0  48    0. 2003 12.3  46  0.0  46
 3 14  63  48  73 1994  52 1975  42  47  55 1995  32 1954 0.047  48  0.69 1975  0.00  48   0.0 2003   0.0  48    0. 2003 12.7  47  0.0  47
 3 15  65  47  74 1997  55 1999  43  46  52 2003  35 1956 0.061  48  0.85 1999  0.00  48   0.0 2003   0.0  48    0. 2003 11.5  46  0.0  46
 3 16  64  47  80 1972  52 2001  43  47  51 1998  37 1980 0.179  48  1.52 1958  0.00  48   0.0 2003   0.0  48    0. 2003 11.7  47  0.0  47
 3 17  64  48  83 1972  46 1954  43  48  53 1993  32 1963 0.089  48  0.70 2002  0.00  48   0.0 2003   0.0  48    0. 2003 12.0  48  0.0  48
 3 18  65  48  82 1996  51 1991  43  47  53 1978  32 1963 0.025  48  0.51 1983  0.00  48   0.0 2003   0.0  48    0. 2003 11.2  47  0.0  47
 3 19  66  47  81 1996  56 1954  43  47  52 1998  34 1963 0.026  48  0.34 1954  0.00  48   0.0 2003   0.0  48    0. 2003 11.1  47  0.0  47
 3 20  67  47  80 1960  55 1973  43  46  60 1984  36 1975 0.034  48  0.51 1973  0.00  48   0.0 2003   0.0  48    0. 2003 10.2  46  0.1  46
 3 21  65  48  77 1971  54 1954  44  46  55 1958  33 1955 0.102  48  1.13 1995  0.00  48   0.0 2003   0.0  48    0. 2003 10.8  46  0.0  46
 3 22  64  48  76 1997  54 1991  44  47  53 1997  35 1955 0.077  48  1.04 1975  0.00  48   0.0 2003   0.0  48    0. 2003 11.1  47  0.0  47
 3 23  64  47  74 1984  48 1964  44  46  53 1998  31 1994 0.089  48  0.89 1995  0.00  48   0.0 2003   0.0  48    0. 2003 11.4  46  0.0  46
 3 24  65  47  75 1984  53 1965  43  46  53 1971  31 1994 0.064  48  0.69 1993  0.00  48   0.0 2003   0.0  48    0. 2003 11.4  46  0.0  46
 3 25  64  48  81 1970  53 1965  43  48  53 1971  33 1964 0.076  48  0.78 1991  0.00  48   0.0 2003   0.0  48    0. 2003 11.3  48  0.0  48
 3 26  64  48  82 1997  55 1980  43  46  53 2003  32 1980 0.061  48  0.97 1993  0.00  48   0.0 2003   0.0  48    0. 2003 11.6  46  0.0  46
 3 27  66  47  85 1988  54 1985  44  46  56 1960  34 1972 0.063  48  0.82 1985  0.00  48   0.0 2003   0.0  48    0. 2003 10.4  46  0.0  46
 3 28  67  47  81 1969  55 1993  44  47  53 1989  36 1999 0.078  48  1.05 1963  0.00  48   0.0 2003   0.0  48    0. 2003 10.3  46  0.0  46
 3 29  67  48  80 1986  53 1965  44  48  54 1986  32 1977 0.017  48  0.36 1979  0.00  48   0.0 2003   0.0  48    0. 2003 10.0  48  0.1  48
 3 30  67  48  83 1968  55 1982  44  48  54 1986  34 1977 0.032  48  0.45 1982  0.00  48   0.0 2003   0.0  48    0. 2003 10.0  48  0.0  48
 3 31  66  48  76 2001  50 1967  45  48  55 1978  32 1977 0.073  48  0.97 1982  0.00  48   0.0 2003   0.0  48    0. 2003  9.7  48  0.0  48
 4  1  66  48  82 1966  48 1982  44  48  52 1974  34 1976 0.062  48  0.89 1958  0.00  48   0.0 2003   0.0  48    0. 2003 10.1  48  0.0  48
 4  2  66  46  83 1959  53 1982  43  47  55 1957  34 1976 0.046  48  0.78 1968  0.00  48   0.0 2003   0.0  48    0. 2003 10.6  46  0.1  46
 4  3  67  46  85 1985  52 1965  44  46  54 1961  37 1956 0.047  48  1.55 1958  0.00  48   0.0 2003   0.0  48    0. 2003 10.4  46  0.2  46
 4  4  69  47  85 1960  55 1958  44  47  57 1972  37 1994 0.033  47  0.52 1958  0.00  48   0.0 2003   0.0  48    0. 2003  8.6  47  0.2  47
 4  5  69  48  82 1985  53 1967  45  48  59 1972  34 1978 0.040  48  0.56 1975  0.00  48   0.0 2003   0.0  48    0. 2003  8.1  48  0.0  48
 4  6  68  48  86 1989  57 1969  46  48  58 1963  35 1964 0.086  48  0.94 1958  0.00  48   0.0 2003   0.0  48    0. 2003  8.5  48  0.1  48
 4  7  67  48  90 1989  51 2001  44  48  60 1963  31 2001 0.043  48  1.00 1963  0.00  48   0.0 2003   0.0  48    0. 2003 10.0  48  0.1  48
 4  8  68  47  92 1989  48 2001  44  47  55 1989  37 1980 0.019  48  0.22 1999  0.00  48   0.0 2003   0.0  48    0. 2003  9.5  47  0.2  47
 4  9  68  46  92 1989  52 2001  44  46  55 1989  35 2001 0.042  48  0.55 1994  0.00  48   0.0 2003   0.0  48    0. 2003  9.6  46  0.2  46
 4 10  68  44  93 1989  54 2001  44  44  54 1973  35 1977 0.029  47  0.63 1965  0.00  48   0.0 2003   0.0  48    0. 2003  9.3  44  0.2  44
 4 11  68  45  88 1988  56 1967  44  46  55 1982  34 2001 0.043  47  0.52 1982  0.00  48   0.0 2003   0.0  48    0. 2003  9.5  45  0.1  45
 4 12  69  48  85 1988  55 1967  45  48  54 1995  34 1956 0.040  48  0.33 1966  0.00  48   0.0 2003   0.0  48    0. 2003  8.4  48  0.1  48
 4 13  70  48  85 1962  59 1972  44  48  55 1978  33 1975 0.009  48  0.13 1973  0.00  48   0.0 2003   0.0  48    0. 2003  8.3  48  0.1  48
 4 14  69  47  86 1985  54 1970  46  47  56 1989  35 2001 0.034  48  0.68 2003  0.00  48   0.0 2003   0.0  48    0. 2003  8.1  47  0.3  47
 4 15  70  47  86 1985  58 1956  45  47  53 1989  32 1975 0.027  47  0.48 1988  0.00  48   0.0 2003   0.0  48    0. 2003  7.8  47  0.1  47
 4 16  69  46  87 1954  54 1978  44  46  55 1990  35 1955 0.053  47  0.94 1978  0.00  47   0.0 2003   0.0  48    0. 2003  9.0  46  0.2  46
 4 17  68  45  88 1999  54 1963  45  45  56 1992  34 1963 0.022  47  0.50 1971  0.00  48   0.0 2003   0.0  48    0. 2003  8.9  45  0.2  45
 4 18  67  47  88 1999  51 1955  45  47  58 1954  31 1975 0.043  48  0.52 1957  0.00  48   0.0 2003   0.0  48    0. 2003  9.7  47  0.3  47
 4 19  67  47  83 1956  54 1967  45  48  55 1997  38 1979 0.031  48  0.29 1983  0.00  48   0.0 2003   0.0  48    0. 2003  9.2  47  0.0  47
 4 20  68  48  82 1992  53 1967  45  47  56 1997  37 1966 0.016  47  0.22 1988  0.00  48   0.0 2003   0.0  48    0. 2003  8.5  47  0.0  47
 4 21  67  48  84 1986  50 1963  45  48  59 1997  37 1968 0.047  48  0.42 1967  0.00  48   0.0 2003   0.0  48    0. 2003  9.1  48  0.1  48
 4 22  68  48  87 1987  52 1967  45  48  55 1997  37 1977 0.015  48  0.35 1961  0.00  48   0.0 2003   0.0  48    0. 2003  8.7  48  0.1  48
 4 23  68  47  85 1981  59 1975  46  46  55 1990  37 2001 0.021  48  0.29 1980  0.00  48   0.0 2003   0.0  48    0. 2003  8.5  46  0.0  46
 4 24  68  45  84 1959  51 1994  45  45  54 1996  34 1964 0.049  47  0.52 1983  0.00  47   0.0 2003   0.0  47    0. 2003  9.0  45  0.1  45
 4 25  68  47  84 1966  55 1989  45  47  56 1959  31 1964 0.038  47  0.45 1989  0.00  47   0.0 2003   0.0  47    0. 2003  8.4  47  0.0  47
 4 26  69  45  84 1997  55 1994  45  46  52 1959  35 1964 0.025  47  0.34 1963  0.00  47   0.0 2003   0.0  47    0. 2003  8.3  45  0.1  45
 4 27  70  46  85 1968  53 2002  45  46  54 1968  35 1955 0.024  47  0.47 1960  0.00  48   0.0 2003   0.0  48    0. 2003  8.2  46  0.2  46
 4 28  71  46  85 1968  59 1970  46  45  56 1995  37 1955 0.028  47  0.71 1983  0.00  48   0.0 2003   0.0  48    0. 2003  7.2  45  0.3  45
 4 29  70  46  92 1981  60 2002  46  47  58 1995  37 1967 0.024  48  0.22 1983  0.00  48   0.0 2003   0.0  48    0. 2003  7.7  46  0.4  46
 4 30  71  46  94 1981  57 1994  46  46  57 1995  39 2002 0.011  47  0.29 1983  0.00  47   0.0 2003   0.0  48    0. 2003  7.1  46  0.4  46
 5  1  70  48  96 1996  58 2002  46  49  58 1998  38 1954 0.018  49  0.31 1983  0.00  49   0.0 2003   0.0  48    0. 2003  7.2  48  0.3  48
 5  2  69  48  94 1996  57 1964  47  48  54 2003  37 1982 0.015  49  0.22 1957  0.00  49   0.0 2003   0.0  49    0. 2003  7.5  48  0.2  48
 5  3  71  48  93 1970  57 1991  47  48  56 1986  37 1982 0.009  49  0.19 2003  0.00  49   0.0 2003   0.0  49    0. 2003  6.5  48  0.4  48
 5  4  71  49  85 1970  59 1964  47  49  55 1989  38 1959 0.018  49  0.48 1998  0.00  49   0.0 2003   0.0  49    0. 2003  6.7  49  0.1  49
 5  5  71  48  87 1957  62 1988  47  49  58 1956  40 1975 0.004  49  0.14 1998  0.00  49   0.0 2003   0.0  49    0. 2003  6.5  48  0.3  48
 5  6  71  48  95 1987  55 1964  47  48  58 1982  33 1977 0.022  49  0.59 1998  0.00  49   0.0 2003   0.0  49    0. 2003  6.7  47  0.4  47
 5  7  71  47  94 1987  54 1994  48  48  59 1987  37 1964 0.033  48  1.02 1994  0.00  49   0.0 2003   0.0  49    0. 2003  6.4  47  0.5  47
 5  8  72  48  95 1987  61 1998  48  48  59 1989  40 1964 0.021  49  0.57 1955  0.00  49   0.0 2003   0.0  49    0. 2003  6.0  47  0.7  47
 5  9  71  47  96 1990  54 1963  48  49  58 1990  40 1983 0.032  49  0.91 1956  0.00  49   0.0 2003   0.0  49    0. 2003  6.4  47  0.4  47
 5 10  71  48  88 1993  59 1989  47  49  58 1958  40 1985 0.007  48  0.08 1967  0.00  49   0.0 2003   0.0  49    0. 2003  6.4  48  0.4  48
 5 11  72  46  87 1955  62 1980  48  47  59 1957  37 1982 0.008  49  0.22 1963  0.00  49   0.0 2003   0.0  49    0. 2003  5.5  46  0.3  46
 5 12  73  47  90 1996  55 1998  48  48  55 1996  34 1982 0.015  49  0.36 1977  0.00  49   0.0 2003   0.0  49    0. 2003  5.8  47  0.7  47
 5 13  73  46 100 1976  60 1998  49  48  57 1976  39 1977 0.008  49  0.29 1998  0.00  49   0.0 2003   0.0  49    0. 2003  5.2  46  0.9  46
 5 14  72  47  92 1976  57 1995  48  48  58 1996  40 1968 0.010  49  0.25 1995  0.00  49   0.0 2003   0.0  49    0. 2003  6.0  47  0.7  47
 5 15  73  47  91 1976  61 1984  48  49  62 1996  38 1964 0.008  49  0.22 1957  0.00  49   0.0 2003   0.0  49    0. 2003  5.4  47  0.8  47
 5 16  74  47  97 1970  63 1994  48  47  58 1996  39 2002 0.020  49  0.78 1996  0.00  49   0.0 2003   0.0  49    0. 2003  5.0  46  1.1  46
 5 17  74  48  99 1956  60 1988  49  49  63 1997  39 1977 0.011  49  0.29 1994  0.00  49   0.0 2003   0.0  49    0. 2003  4.8  48  1.1  48
 5 18  75  49 100 1997  59 1994  49  49  60 1997  38 1977 0.004  49  0.08 1974  0.00  49   0.0 2003   0.0  49    0. 2003  3.9  49  0.9  49
 5 19  73  48  95 1978  60 1991  49  48  60 1958  41 1991 0.016  49  0.41 1957  0.00  49   0.0 2003   0.0  49    0. 2003  5.1  48  0.6  48
 5 20  74  47  93 1990  56 1994  49  48  60 1993  42 1991 0.036  49  1.25 2002  0.00  49   0.0 2003   0.0  49    0. 2003  4.8  47  1.0  47
 5 21  73  47  98 1990  59 1999  49  46  58 1955  40 1982 0.012  49  0.33 1957  0.00  49   0.0 2003   0.0  49    0. 2003  5.2  46  0.8  46
 5 22  74  47  91 1988  58 1965  49  46  58 1958  41 1994 0.002  49  0.09 1958  0.00  49   0.0 2003   0.0  49    0. 2003  4.5  46  0.5  46
 5 23  74  48  90 1954  58 1977  50  48  58 1997  43 2002 0.008  49  0.26 1958  0.00  49   0.0 2003   0.0  49    0. 2003  3.9  48  0.4  48
 5 24  73  49  94 1982  61 1980  49  49  59 1958  37 1978 0.012  49  0.28 1997  0.00  49   0.0 2003   0.0  49    0. 2003  4.7  49  0.6  49
 5 25  74  47  97 1982  59 1987  50  48  60 1981  42 1980 0.003  49  0.12 1993  0.00  49   0.0 2003   0.0  49    0. 2003  3.9  47  0.7  47
 5 26  73  48  90 1975  54 1980  51  47  61 1969  45 1998 0.000  49  0.00 2003  0.00  49   0.0 2003   0.0  49    0. 2003  3.6  47  0.6  47
 5 27  73  47  95 1974  61 2001  51  47  62 1997  42 1977 0.011  49  0.31 1964  0.00  49   0.0 2003   0.0  49    0. 2003  3.9  47  0.7  47
 5 28  75  47  97 1984  63 2001  50  46  62 1997  40 1977 0.003  49  0.13 1998  0.00  49   0.0 2003   0.0  49    0. 2003  3.7  46  1.2  46
 5 29  74  47  94 1975  60 2001  50  47  63 1975  42 1977 0.007  49  0.35 1998  0.00  49   0.0 2003   0.0  49    0. 2003  4.2  47  1.2  47
 5 30  75  47  96 1978  64 1988  50  46  60 1969  42 1983 0.000  49  0.00 2003  0.00  49   0.0 2003   0.0  49    0. 2003  3.7  46  1.0  46
 5 31  76  48  95 1978  64 1991  51  47  62 1997  45 1991 0.000  48  0.00 2003  0.00  49   0.0 2003   0.0  49    0. 2003  3.0  47  1.1  47
 6  1  76  45 100 1960  64 1971  52  45  61 1997  42 1955 0.001  47  0.04 1961  0.00  47   0.0 2003   0.0  47    0. 2003  3.2  45  1.7  45
 6  2  76  45 106 1960  61 1971  51  45  61 1958  43 1994 0.005  47  0.12 1967  0.00  47   0.0 2003   0.0  47    0. 2003  3.2  45  1.5  45
 6  3  75  43  96 1996  60 1999  51  43  61 1960  40 1982 0.008  47  0.26 1999  0.00  47   0.0 2003   0.0  47    0. 2003  3.4  43  1.1  43
 6  4  75  46  96 1996  62 1998  52  45  60 1960  42 1994 0.000  46  0.00 2003  0.00  47   0.0 2003   0.0  47    0. 2003  2.7  45  0.9  45
 6  5  76  46  98 1981  63 1993  53  45  62 1955  42 1982 0.003  47  0.13 1993  0.00  47   0.0 2003   0.0  47    0. 2003  2.6  45  1.6  45
 6  6  76  45  96 2002  63 1968  52  47  59 1969  42 1976 0.001  47  0.03 1984  0.00  47   0.0 2003   0.0  47    0. 2003  3.2  45  1.6  45
 6  7  76  47  94 1983  63 1993  52  47  59 1983  43 1994 0.003  47  0.07 1988  0.00  47   0.0 2003   0.0  47    0. 2003  3.1  47  1.6  47
 6  8  76  46  96 1973  60 1965  52  46  60 1958  43 1988 0.010  47  0.45 1964  0.00  47   0.0 2003   0.0  47    0. 2003  3.0  46  1.3  46
 6  9  76  46 103 1973  58 1964  52  45  63 1973  43 1964 0.005  47  0.09 1970  0.00  47   0.0 2003   0.0  47    0. 2003  2.8  45  1.3  45
 6 10  75  44  95 1986  60 1964  51  45  58 1998  43 1972 0.005  47  0.14 1972  0.00  47   0.0 2003   0.0  47    0. 2003  3.0  43  1.1  43
 6 11  76  47  95 1985  63 1998  52  46  62 1975  44 1966 0.000  47  0.02 1963  0.00  47   0.0 2003   0.0  47    0. 2003  2.5  46  1.1  46
 6 12  75  45  91 1985  66 1989  52  45  59 1957  45 1966 0.003  47  0.16 1954  0.00  47   0.0 2003   0.0  47    0. 2003  2.8  45  0.8  45
