"MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice"
50,"RL",55,7642,"Pave",None,"Reg","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","1.5Fin",7,8,1918,1998,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,912,912,"GasA","Gd","Y","SBrkr",912,514,0,1426,0,0,1,1,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1925,"Unf",1,216,"TA","TA","Y",0,240,0,0,0,0,None,"GdPrv",None,0,6,2007,"WD ","Normal",189950
60,"RL",None,28698,"Pave",None,"IR2","Low","AllPub","CulDSac","Sev","ClearCr","Norm","Norm","1Fam","2Story",5,5,1967,1967,"Flat","Tar&Grv","Plywood","Plywood","None",0,"TA","TA","PConc","TA","Gd","Gd","LwQ",249,"ALQ",764,0,1013,"GasA","TA","Y","SBrkr",1160,966,0,2126,0,1,2,1,3,1,"TA",7,"Min2",0,None,"Attchd",1967,"Fin",2,538,"TA","TA","Y",486,0,0,0,225,0,None,None,None,0,6,2009,"WD ","Abnorml",185000
50,"RL",51,9839,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","SWISU","Feedr","Norm","1Fam","1.5Fin",5,2,1931,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","Fa","No","Unf",0,"Unf",0,894,894,"GasA","Ex","Y","SBrkr",894,772,0,1666,1,0,1,0,3,1,"TA",7,"Typ",1,"Gd",None,None,None,0,0,None,None,"N",0,156,0,0,0,0,None,None,None,0,5,2010,"WD ","Normal",100000
80,"RL",42,10385,"Pave",None,"IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","SLvl",6,6,1978,1978,"Gable","CompShg","HdBoard","HdBoard","BrkFace",123,"TA","TA","CBlock","TA","Gd","Av","ALQ",595,"LwQ",400,0,995,"GasA","TA","Y","SBrkr",1282,0,0,1282,0,1,2,0,3,1,"TA",6,"Typ",0,None,"Detchd",1989,"Unf",3,672,"Fa","TA","Y",386,0,0,0,0,0,None,None,None,0,4,2006,"WD ","Normal",174000
20,"RL",75,8250,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Nonemes","Norm","Norm","1Fam","1Story",6,7,1964,1964,"Hip","CompShg","HdBoard","HdBoard","Stone",260,"TA","TA","CBlock","Gd","TA","No","Rec",787,"Unf",0,305,1092,"GasA","Ex","Y","SBrkr",1092,0,0,1092,1,0,1,0,3,1,"TA",6,"Typ",0,None,"Attchd",1964,"RFn",2,504,"TA","Gd","Y",0,0,0,0,0,0,None,"MnPrv",None,0,7,2008,"WD ","Normal",145000
20,"RM",52,8516,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",4,6,1958,2006,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,869,869,"GasA","TA","Y","SBrkr",1093,0,0,1093,0,0,1,0,2,1,"TA",5,"Typ",0,None,"Detchd",1959,"Unf",1,308,"TA","TA","Y",0,0,0,0,0,0,None,None,None,0,5,2008,"WD ","Normal",115500
160,"RM",24,2522,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Twnhs","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","Stone",50,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,970,970,"GasA","Ex","Y","SBrkr",970,739,0,1709,0,0,2,0,3,1,"Gd",7,"Maj1",0,None,"Detchd",2004,"Unf",2,380,"TA","TA","Y",0,40,0,0,0,0,None,None,None,0,5,2006,"WD ","Normal",130000
20,"RL",59,17169,"Pave",None,"IR2","Lvl","AllPub","CulDSac","Gtl","NridgHt","Norm","Norm","1Fam","1Story",10,5,2007,2007,"Hip","CompShg","CemntBd","CmentBd","BrkFace",970,"Ex","TA","PConc","Ex","TA","Av","GLQ",1684,"Unf",0,636,2320,"GasA","Ex","Y","SBrkr",2290,0,0,2290,2,0,2,1,2,1,"Ex",7,"Typ",1,"Gd","Attchd",2007,"Fin",3,1174,"TA","TA","Y",192,30,0,0,0,0,None,None,None,0,8,2007,"New","Partial",500067
20,"RL",70,9100,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2004,2005,"Hip","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",24,"Unf",0,1836,1860,"GasA","Ex","Y","SBrkr",1836,0,0,1836,0,0,2,0,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2004,"Fin",2,484,"TA","TA","Y",120,33,0,0,0,0,None,None,None,0,10,2006,"WD ","Normal",216837
190,"RL",79,6221,"Pave",None,"IR1","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","2fmCon","1.5Fin",5,5,1941,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","Fa","No","LwQ",533,"Unf",0,195,728,"GasA","Ex","Y","SBrkr",760,595,0,1355,0,0,2,0,3,1,"TA",5,"Typ",0,None,"Detchd",1966,"Unf",2,528,"TA","TA","Y",0,0,0,0,144,0,None,"MnPrv",None,0,10,2007,"WD ","Normal",140000
50,"RL",70,10512,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",6,6,1954,1954,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",491,"Unf",0,497,988,"GasA","Ex","Y","SBrkr",988,638,0,1626,0,0,1,1,3,1,"Gd",6,"Typ",0,None,"Attchd",1954,"Unf",1,332,"TA","TA","Y",366,0,0,0,0,0,None,None,None,0,5,2007,"WD ","Normal",154000
20,"RL",85,14331,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",630,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1274,"Unf",0,526,1800,"GasA","Ex","Y","SBrkr",1800,0,0,1800,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2002,"Fin",3,765,"TA","TA","Y",270,78,0,0,0,0,None,None,None,0,5,2006,"WD ","Normal",312500
20,"RL",70,9135,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2002,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",113,"Gd","TA","PConc","Gd","TA","Av","GLQ",810,"Unf",0,726,1536,"GasA","Ex","Y","SBrkr",1536,0,0,1536,1,0,2,0,3,1,"Gd",7,"Typ",0,None,"Attchd",2002,"RFn",2,532,"TA","TA","Y",192,74,0,0,0,0,None,None,None,0,12,2008,"WD ","Normal",214000
20,"RL",65,9345,"Pave",None,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",156,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1615,1615,"GasA","Ex","Y","SBrkr",1615,0,0,1615,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2007,"RFn",3,864,"TA","TA","Y",168,30,0,0,0,0,None,None,None,0,5,2008,"WD ","Normal",248500
20,"RL",None,8339,"Pave",None,"IR1","Lvl","AllPub","Inside","Gtl","Nonemes","Norm","Norm","1Fam","1Story",5,7,1959,1959,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab",None,None,None,None,0,None,0,0,0,"GasA","TA","Y","SBrkr",882,0,0,882,0,0,1,0,3,1,"TA",5,"Typ",0,None,"Attchd",1959,"RFn",1,294,"TA","TA","Y",0,0,0,0,0,0,None,"MnPrv","Shed",1200,7,2007,"WD ","Normal",106500
60,"RL",58,17104,"Pave",None,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","Gd","Av","GLQ",554,"Unf",0,100,654,"GasA","Ex","Y","SBrkr",664,832,0,1496,1,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2006,"RFn",2,426,"TA","TA","Y",100,24,0,0,0,0,None,None,None,0,9,2006,"New","Partial",179665
60,"RL",83,10005,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","ClearCr","Norm","Norm","1Fam","2Story",7,5,1977,1977,"Hip","CompShg","Plywood","Plywood","BrkFace",299,"TA","TA","CBlock","Gd","TA","No","BLQ",392,"Unf",0,768,1160,"GasA","Ex","Y","SBrkr",1156,866,0,2022,0,0,2,1,4,1,"TA",8,"Typ",1,"TA","Attchd",1977,"Fin",2,505,"TA","TA","Y",288,117,0,0,0,0,None,None,None,0,3,2008,"WD ","Normal",192000
60,"RL",84,9660,"Pave",None,"IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",242,"Gd","TA","PConc","Gd","TA","No","GLQ",791,"Unf",0,253,1044,"GasA","Ex","Y","SBrkr",1079,897,0,1976,1,0,2,1,3,1,"Gd",7,"Typ",1,"Ex","Attchd",1998,"Fin",3,885,"TA","TA","Y",210,31,0,0,0,0,None,None,None,0,2,2006,"WD ","Normal",286000
20,"RL",65,6500,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",6,6,1976,1976,"Hip","CompShg","HdBoard","Plywood","BrkFace",84,"TA","TA","CBlock","TA","Ex","No","BLQ",1033,"Unf",0,94,1127,"GasA","TA","Y","SBrkr",1127,0,0,1127,0,1,1,1,3,1,"TA",6,"Typ",1,"Po","Detchd",1991,"Unf",2,480,"TA","TA","Y",0,0,138,0,0,0,None,None,None,0,5,2008,"WD ","Normal",135000
70,"RL",100,9670,"Pave",None,"IR1","HLS","AllPub","Inside","Mod","Crawfor","Norm","Norm","1Fam","2Story",8,6,1935,1950,"Gable","CompShg","BrkFace","Stucco","Stone",40,"TA","TA","PConc","TA","Fa","No","LwQ",210,"Unf",0,398,608,"GasA","TA","Y","SBrkr",983,890,0,1873,0,0,1,1,4,1,"TA",9,"Typ",2,"Gd","Detchd",1935,"Fin",2,786,"Fa","TA","Y",0,0,207,0,0,0,None,None,None,0,6,2008,"WD ","Alloca",257076
20,"RL",None,10960,"Pave",None,"IR1","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,5,1984,1984,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","No","GLQ",256,"Unf",0,1028,1284,"GasA","TA","Y","SBrkr",1284,0,0,1284,1,0,2,0,3,1,"TA",5,"Typ",0,None,"Attchd",1984,"Unf",2,480,"TA","TA","Y",0,0,192,0,0,0,None,None,None,0,4,2007,"COD","Abnorml",174000
50,"RM",60,10440,"Pave","Grvl","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","2Story",5,6,1910,1981,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,440,440,"GasA","Gd","Y","SBrkr",682,548,0,1230,0,0,1,1,2,1,"TA",5,"Typ",0,None,"Detchd",1966,"Unf",2,440,"TA","TA","Y",74,0,128,0,0,0,None,"MnPrv",None,0,5,2009,"WD ","Normal",110000
190,"RL",80,8800,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Nonemes","RRAn","Norm","2fmCon","1Story",6,7,1965,2000,"Hip","CompShg","BrkFace","VinylSd","None",0,"TA","Gd","PConc","TA","TA","Mn","ALQ",901,"BLQ",252,34,1187,"GasA","Ex","Y","SBrkr",1565,0,0,1565,1,0,2,0,3,1,"Gd",7,"Min1",2,"TA","Attchd",1965,"RFn",1,299,"TA","TA","Y",200,25,211,0,0,0,None,"MnPrv","Shed",460,6,2006,"WD ","Abnorml",185900
20,"RL",None,14585,"Pave",None,"IR1","Lvl","AllPub","CulDSac","Gtl","Nonemes","Norm","Norm","1Fam","1Story",6,6,1960,1987,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",85,"TA","TA","CBlock","TA","TA","No","BLQ",594,"Rec",219,331,1144,"GasA","Ex","Y","SBrkr",1429,0,0,1429,0,1,1,0,3,1,"Gd",7,"Typ",2,"Gd","Attchd",1960,"Unf",2,572,"TA","TA","Y",216,110,0,0,0,0,None,None,None,0,6,2007,"WD ","Normal",181900
50,"RL",63,8375,"Pave",None,"Reg","Lvl","AllPub","Corner","Gtl","Sawyer","Norm","Norm","1Fam","1.5Fin",5,7,1941,1973,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","ALQ",336,"Unf",0,240,576,"GasA","Gd","Y","SBrkr",864,486,0,1350,1,0,1,1,2,1,"Gd",6,"Min1",0,None,"2Types",1973,"Unf",3,627,"TA","TA","N",0,0,0,0,0,0,None,"MnPrv",None,0,6,2008,"WD ","Normal",152400
60,"RL",89,11645,"Pave",None,"IR1","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,860,860,"GasA","Ex","Y","SBrkr",860,860,0,1720,0,0,2,1,3,1,"Gd",7,"Typ",0,None,"Attchd",2004,"RFn",2,565,"TA","TA","Y",0,70,0,0,0,0,None,None,None,0,8,2006,"WD ","Normal",196500
45,"RM",50,6130,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",5,6,1924,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","ALQ",784,"Unf",0,0,784,"GasA","Gd","Y","SBrkr",784,0,0,784,1,0,1,0,2,1,"Gd",5,"Typ",0,None,None,None,None,0,0,None,None,"Y",0,0,116,0,0,0,None,None,None,0,5,2008,"WD ","Normal",109500
60,"FV",112,12217,"Pave",None,"IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",8,5,2007,2007,"Hip","CompShg","WdShing","Wd Shng","",None,"Gd","TA","PConc","Ex","TA","Av","GLQ",745,"Unf",0,210,955,"GasA","Ex","Y","SBrkr",955,925,0,1880,1,0,2,1,3,1,"Ex",8,"Typ",1,"Gd","Attchd",2007,"Fin",3,880,"TA","TA","Y",168,127,0,0,0,0,None,None,None,0,12,2007,"New","Partial",310013
60,"FV",75,9803,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",400,"Unf",0,466,866,"GasA","Gd","Y","SBrkr",866,902,0,1768,0,0,2,1,3,1,"Gd",7,"Typ",0,None,"Attchd",2005,"RFn",2,603,"TA","TA","Y",0,108,0,0,0,0,None,None,None,0,2,2008,"WD ","Normal",226700
20,"RL",85,13175,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,6,1978,1988,"Gable","CompShg","Plywood","Plywood","Stone",119,"TA","TA","CBlock","Gd","TA","No","ALQ",790,"Rec",163,589,1542,"GasA","TA","Y","SBrkr",2073,0,0,2073,1,0,2,0,3,1,"TA",7,"Min1",2,"TA","Attchd",1978,"Unf",2,500,"TA","TA","Y",349,0,0,0,0,0,None,"MnPrv",None,0,2,2010,"WD ","Normal",210000
20,"RL",75,9000,"Pave",None,"Reg","Lvl","AllPub","Corner","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1966,1966,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",773,"Unf",0,286,1059,"GasA","Gd","Y","SBrkr",1059,0,0,1059,1,0,1,0,3,1,"TA",6,"Typ",0,None,"Attchd",1966,"Fin",1,286,"TA","TA","Y",0,88,0,0,0,0,None,"GdWo",None,0,6,2006,"WD ","Abnorml",142500
70,"RM",60,6600,"Pave",None,"Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","2Story",5,4,1892,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","Stone","TA","TA","No","Unf",0,"Unf",0,994,994,"GasA","TA","N","SBrkr",1378,994,0,2372,0,0,2,0,4,2,"TA",11,"Min2",0,None,"Attchd",1985,"RFn",1,432,"TA","TA","Y",0,287,0,0,0,0,None,None,None,0,12,2009,"WD ","Normal",107500
120,"RL",38,4740,"Pave",None,"IR1","Lvl","AllPub","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1988,1988,"Gable","CompShg","CemntBd","CmentBd","None",0,"Gd","TA","CBlock","Gd","TA","Gd","GLQ",248,"Unf",0,918,1166,"GasA","Gd","Y","SBrkr",1179,0,0,1179,1,0,2,0,2,1,"TA",5,"Typ",0,None,"Attchd",1988,"RFn",2,480,"TA","TA","Y",0,108,0,0,135,0,None,None,None,0,10,2007,"WD ","Normal",182000
20,"FV",75,7500,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",238,"Gd","TA","PConc","Gd","TA","No","GLQ",24,"Unf",0,1348,1372,"GasA","Ex","Y","SBrkr",1448,0,0,1448,0,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2006,"RFn",2,692,"TA","TA","Y",0,140,0,0,0,0,None,None,None,0,6,2009,"WD ","Normal",238500
20,"RL",77,9510,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Nonemes","Norm","Norm","1Fam","1Story",6,5,1962,1985,"Gable","CompShg","HdBoard","HdBoard","BrkCmn",161,"TA","TA","CBlock","TA","TA","No","ALQ",701,"Unf",0,434,1135,"GasA","Ex","Y","SBrkr",1207,0,0,1207,0,0,1,1,3,1,"TA",6,"Typ",0,None,"Attchd",1962,"RFn",1,264,"TA","TA","Y",0,240,0,0,0,0,None,None,None,0,5,2006,"WD ","Normal",147000
20,"RL",60,11100,"Pave",None,"Reg","Low","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,7,1946,2006,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock",None,None,None,None,0,None,0,0,0,"GasA","Ex","Y","SBrkr",930,0,0,930,0,0,1,0,2,1,"Gd",6,"Typ",0,None,"Detchd",1946,"Unf",1,308,"TA","TA","Y",0,0,0,0,0,0,None,None,None,0,4,2010,"WD ","Abnorml",84900
30,"RL",60,10914,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","Nonemes","Artery","Norm","1Fam","1Story",3,3,1929,1950,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","Fa","CBlock","TA","TA","Mn","Unf",0,"Unf",0,715,715,"GasA","Fa","N","FuseP",715,0,0,715,0,0,1,0,2,1,"TA",4,"Typ",0,None,"Detchd",1967,"Unf",2,660,"Fa","TA","N",0,0,75,0,112,0,None,None,None,0,8,2006,"WD ","Normal",68000
