"MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice"
70,"RM",60,6402,"Pave",None,"Reg","Lvl","AllPub","Corner","Gtl","IDOTRR","Norm","Norm","1Fam","2Story",5,5,1920,1950,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","PConc","TA","TA","Mn","Unf",0,"Unf",0,596,596,"GasA","TA","N","SBrkr",596,596,0,1192,0,0,1,0,3,1,"TA",6,"Typ",0,None,"Detchd",1920,"Unf",1,189,"Fa","Fa","N",0,0,137,0,0,0,None,"GdWo",None,0,7,2009,"WD ","Normal",78000
160,"RM",24,2522,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Twnhs","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","Stone",50,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,970,970,"GasA","Ex","Y","SBrkr",970,739,0,1709,0,0,2,0,3,1,"Gd",7,"Maj1",0,None,"Detchd",2004,"Unf",2,380,"TA","TA","Y",0,40,0,0,0,0,None,None,None,0,5,2006,"WD ","Normal",134000
60,"RL",73,8760,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","Gd","Mn","GLQ",464,"Unf",0,927,1391,"GasA","Ex","Y","SBrkr",1391,571,0,1962,0,0,2,1,3,1,"Gd",7,"Typ",0,None,"Attchd",2006,"RFn",3,868,"TA","TA","Y",0,90,0,0,0,0,None,None,None,0,8,2006,"New","Partial",239799
30,"RM",40,4800,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1Story",4,7,1916,1990,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",197,"Unf",0,999,1196,"GasA","Ex","Y","FuseA",1196,0,0,1196,1,0,1,0,2,1,"TA",5,"Typ",0,None,"Detchd",1957,"Unf",2,440,"TA","TA","Y",0,0,0,0,0,0,None,None,None,0,7,2007,"WD ","Normal",109900
20,"RL",None,12782,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,2003,"Hip","CompShg","HdBoard","HdBoard","BrkFace",164,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1360,"Unf",0,462,1822,"GasA","Ex","Y","SBrkr",1828,0,0,1828,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2002,"Fin",2,523,"TA","TA","Y",194,144,0,0,0,0,None,None,None,0,6,2009,"WD ","Normal",279500
60,"RL",102,12858,"Pave",None,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2009,2010,"Gable","CompShg","VinylSd","VinylSd","Stone",162,"Ex","TA","PConc","Ex","TA","No","Unf",0,"Unf",0,1590,1590,"GasA","Ex","Y","SBrkr",1627,707,0,2334,0,0,2,1,3,1,"Ex",10,"Typ",1,"Gd","Attchd",2009,"Fin",3,751,"TA","TA","Y",144,133,0,0,0,0,None,None,None,0,1,2010,"New","Partial",376162
20,"RL",None,9373,"Pave",None,"IR1","Lvl","AllPub","CulDSac","Gtl","NWAmes","PosN","Norm","1Fam","1Story",5,7,1975,1975,"Gable","CompShg","HdBoard","HdBoard","BrkFace",161,"TA","TA","CBlock","Gd","TA","Av","ALQ",1333,"LwQ",168,120,1621,"GasA","TA","Y","SBrkr",1621,0,0,1621,1,0,2,0,3,1,"TA",7,"Typ",2,"Fa","Attchd",1975,"RFn",2,478,"TA","TA","Y",0,0,0,0,490,0,None,None,None,0,6,2009,"WD ","Normal",213000
20,"RL",80,10800,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Nonemes","Norm","Norm","1Fam","1Story",5,7,1960,1960,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",88,"TA","TA","CBlock","TA","TA","No","ALQ",632,"Unf",0,616,1248,"GasA","Ex","Y","SBrkr",1248,0,0,1248,1,0,1,0,3,1,"TA",6,"Typ",0,None,"Attchd",1960,"Unf",1,286,"TA","TA","Y",0,0,0,0,0,0,None,"MnPrv",None,0,5,2006,"WD ","Normal",151500
20,"RL",None,16635,"Pave",None,"IR1","Lvl","AllPub","FR2","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,7,1977,2000,"Gable","CompShg","CemntBd","CmentBd","Stone",126,"Gd","TA","CBlock","Gd","TA","No","ALQ",1246,"Unf",0,356,1602,"GasA","Gd","Y","SBrkr",1602,0,0,1602,0,1,2,0,3,1,"Gd",8,"Typ",1,"TA","Attchd",1977,"Fin",2,529,"TA","TA","Y",240,0,0,0,0,0,None,None,None,0,6,2009,"WD ","Normal",215000
90,"RM",60,7200,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","Duplex","SFoyer",5,5,1980,1980,"Gable","CompShg","MetalSd","MetalSd","BrkFace",180,"TA","TA","CBlock","Gd","TA","Gd","GLQ",936,"Unf",0,0,936,"GasA","TA","Y","SBrkr",936,0,0,936,1,0,1,0,2,1,"TA",4,"Typ",0,None,"Detchd",1980,"Unf",2,672,"TA","TA","Y",49,0,0,0,0,0,None,None,None,0,8,2007,"WD ","Normal",140000
70,"RM",42,7614,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Mod","OldTown","Norm","Norm","1Fam","2Story",3,5,1905,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","Fa","Mn","Unf",0,"Unf",0,738,738,"GasA","Gd","Y","FuseA",714,662,0,1376,0,0,1,0,2,1,"TA",7,"Typ",0,None,"Detchd",1930,"Unf",1,216,"TA","TA","N",0,0,104,0,225,0,None,None,None,0,3,2006,"WD ","Normal",96900
20,"RM",50,6000,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",5,5,1948,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",104,"BLQ",169,516,789,"GasA","Ex","Y","SBrkr",789,0,0,789,0,0,1,0,2,1,"TA",5,"Typ",0,None,"Detchd",1948,"Unf",1,250,"TA","TA","Y",0,0,0,0,0,0,None,None,None,0,4,2008,"WD ","Partial",115000
20,"RL",89,12898,"Pave",None,"IR1","HLS","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",9,5,2007,2008,"Hip","CompShg","VinylSd","VinylSd","Stone",70,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1022,"Unf",0,598,1620,"GasA","Ex","Y","SBrkr",1620,0,0,1620,1,0,2,0,2,1,"Ex",6,"Typ",1,"Ex","Attchd",2008,"Fin",3,912,"TA","TA","Y",228,0,0,0,0,0,None,None,None,0,9,2009,"WD ","Normal",315500
20,"RL",63,7500,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",7,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",120,"TA","TA","PConc","Gd","TA","No","GLQ",680,"Unf",0,400,1080,"GasA","Ex","Y","SBrkr",1080,0,0,1080,1,0,1,0,3,1,"Gd",6,"Typ",0,None,None,None,None,0,0,None,None,"Y",0,0,0,0,0,0,None,None,None,0,4,2008,"WD ","Normal",141000
160,"RM",21,1680,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,5,1971,1971,"Gable","CompShg","CemntBd","CmentBd","BrkFace",236,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,672,672,"GasA","TA","Y","SBrkr",672,546,0,1218,0,0,1,1,3,1,"TA",7,"Typ",0,None,None,None,None,0,0,None,None,"N",201,0,0,0,0,0,None,None,None,0,4,2006,"WD ","Abnorml",91500
20,"RL",103,11175,"Pave",None,"IR1","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1316,1316,"GasA","Ex","Y","SBrkr",1316,0,0,1316,0,0,2,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",2007,"Fin",2,440,"TA","TA","Y",0,20,0,0,0,0,None,None,None,0,10,2007,"New","Partial",200141
20,"RL",80,9600,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Nonemes","Norm","Norm","1Fam","1Story",6,5,1953,1953,"Hip","CompShg","HdBoard","HdBoard","Stone",238,"TA","TA","CBlock","TA","TA","No","GLQ",1285,"Unf",0,131,1416,"GasA","TA","Y","SBrkr",1644,0,0,1644,1,0,1,0,3,1,"TA",7,"Typ",2,"Gd","Attchd",1953,"Fin",2,418,"TA","TA","Y",110,0,0,0,0,0,None,None,None,0,10,2009,"WD ","Normal",167000
20,"RL",60,11556,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Nonemes","Norm","Norm","1Fam","1Story",5,6,1952,1952,"Gable","CompShg","MetalSd","MetalSd","Stone",52,"TA","TA","CBlock","TA","TA","No","Rec",148,"Unf",0,572,720,"GasA","Ex","Y","FuseA",882,0,0,882,1,0,1,0,2,1,"Gd",4,"Typ",0,None,"Attchd",1952,"Unf",1,240,"TA","TA","Y",0,0,0,0,0,0,None,"MnPrv",None,0,5,2008,"WD ","Normal",116000
50,"RL",None,14100,"Pave",None,"IR1","Lvl","AllPub","Inside","Mod","Crawfor","Norm","Norm","1Fam","1.5Fin",8,9,1935,1997,"Gable","CompShg","Stucco","Stucco","BrkFace",632,"TA","Gd","CBlock","TA","TA","Mn","Rec",192,"Unf",0,536,728,"GasA","Ex","Y","SBrkr",1968,1479,0,3447,0,0,3,1,4,1,"Gd",11,"Typ",2,"Gd","BuiltIn",1982,"Unf",3,1014,"TA","TA","Y",314,12,0,0,0,0,None,"GdWo",None,0,5,2008,"WD ","Normal",381000
20,"RL",73,8760,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Nonemes","Norm","Norm","1Fam","1Story",6,7,1957,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",873,"Unf",0,63,936,"GasA","TA","Y","SBrkr",936,0,0,936,1,0,1,0,2,1,"Gd",4,"Typ",0,None,"Attchd",1957,"RFn",1,315,"TA","TA","Y",0,0,0,219,0,0,None,None,None,0,9,2007,"WD ","Normal",141000
20,"RL",62,70761,"Pave",None,"IR1","Low","AllPub","Inside","Mod","ClearCr","Norm","Norm","1Fam","1Story",7,5,1975,1975,"Gable","WdShngl","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",655,"Unf",0,878,1533,"GasA","TA","Y","SBrkr",1533,0,0,1533,1,0,2,0,2,1,"Gd",5,"Typ",2,"TA","Attchd",1975,"Unf",2,576,"TA","TA","Y",200,54,0,0,0,0,None,None,None,0,12,2006,"WD ","Normal",280000
60,"RL",None,12227,"Pave",None,"IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",6,7,1977,1995,"Gable","CompShg","HdBoard","HdBoard","BrkFace",424,"TA","Gd","CBlock","Gd","Gd","No","ALQ",896,"Unf",0,434,1330,"GasA","TA","Y","SBrkr",1542,1330,0,2872,1,0,2,1,4,1,"TA",11,"Typ",1,"TA","Attchd",1977,"Fin",2,619,"TA","TA","Y",550,282,0,0,0,0,None,None,None,0,7,2008,"WD ","Normal",272000
50,"RM",50,5925,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",3,6,1910,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,600,600,"Grav","Fa","N","SBrkr",600,368,0,968,0,0,1,0,2,1,"TA",6,"Typ",0,None,None,None,None,0,0,None,None,"Y",0,0,0,0,0,0,None,"GdWo",None,0,5,2009,"WD ","Abnorml",37900
60,"RL",103,13125,"Pave",None,"IR1","Lvl","AllPub","Corner","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,1991,1991,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Ex","TA","Mn","BLQ",48,"GLQ",634,422,1104,"GasA","Ex","Y","SBrkr",912,1215,0,2127,1,0,2,1,4,1,"Gd",8,"Typ",1,"TA","Attchd",1991,"RFn",3,833,"TA","TA","Y",72,192,224,0,0,0,None,"GdPrv",None,0,11,2007,"WD ","Normal",238000
120,"RL",34,5381,"Pave",None,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","1Story",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",135,"Gd","TA","PConc","Gd","TA","Av","ALQ",900,"Unf",0,406,1306,"GasA","Ex","Y","SBrkr",1306,0,0,1306,1,0,2,0,1,1,"Gd",5,"Typ",1,"Gd","Attchd",2005,"RFn",2,624,"TA","TA","Y",170,63,0,0,0,0,None,None,None,0,8,2009,"WD ","Normal",196000
70,"RL",60,9084,"Pave",None,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Artery","Norm","1Fam","2Story",4,5,1940,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Mn","Unf",0,"Unf",0,755,755,"GasA","TA","Y","SBrkr",755,755,0,1510,1,0,1,0,4,1,"TA",7,"Typ",1,"Gd","Detchd",1940,"Unf",1,296,"Fa","Po","P",120,0,0,0,0,0,None,"MnPrv",None,0,10,2009,"WD ","Normal",108000
70,"RM",121,17671,"Pave","Grvl","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Artery","Norm","1Fam","2Story",8,9,1882,1986,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","Gd","BrkTil","TA","TA","No","BLQ",216,"Unf",0,700,916,"GasA","Gd","Y","SBrkr",916,826,0,1742,0,0,1,1,4,1,"Gd",8,"Typ",1,"Gd","Attchd",1925,"Unf",2,424,"TA","TA","P",0,169,0,0,0,0,None,None,None,0,11,2009,"WD ","Normal",168000
20,"RL",95,15865,"Pave",None,"IR1","Lvl","AllPub","Inside","Mod","Nonemes","Norm","Norm","1Fam","1Story",8,6,1970,1970,"Flat","Tar&Grv","Wd Sdng","Wd Sdng","None",0,"Gd","Gd","PConc","TA","Gd","Gd","ALQ",351,"Rec",823,1043,2217,"GasA","Ex","Y","SBrkr",2217,0,0,2217,1,0,2,0,4,1,"Gd",8,"Typ",1,"TA","Attchd",1970,"Unf",2,621,"TA","TA","Y",81,207,0,0,224,0,None,None,None,0,10,2007,"WD ","Normal",268000
80,"RL",None,15957,"Pave",None,"IR1","Low","AllPub","Corner","Mod","Mitchel","Norm","Norm","1Fam","SLvl",6,6,1977,1977,"Gable","CompShg","HdBoard","Plywood","None",0,"TA","TA","PConc","Gd","TA","Gd","GLQ",1148,"Unf",0,96,1244,"GasA","TA","Y","SBrkr",1356,0,0,1356,2,0,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1977,"Fin",2,528,"TA","TA","Y",1424,0,0,0,0,0,None,"MnPrv",None,0,9,2007,"WD ","Normal",188000
60,"RL",None,17542,"Pave",None,"IR1","Lvl","AllPub","Inside","Gtl","Veenker","Norm","Norm","1Fam","2Story",7,7,1974,2003,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","TA","CBlock","TA","TA","Gd","LwQ",125,"ALQ",1031,36,1192,"GasA","TA","Y","SBrkr",1516,651,0,2167,1,0,2,1,3,1,"Gd",9,"Typ",2,"Gd","Attchd",1974,"RFn",2,518,"TA","TA","Y",220,47,0,0,0,0,None,"MnPrv",None,0,7,2007,"WD ","Normal",294000
50,"RL",72,10632,"Pave",None,"IR1","Lvl","AllPub","Inside","Gtl","ClearCr","Norm","Norm","1Fam","1.5Fin",5,3,1917,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","Gd","Fa","No","Unf",0,"Unf",0,689,689,"GasA","Gd","N","SBrkr",725,499,0,1224,0,0,1,1,3,1,"Po",6,"Mod",0,None,"Detchd",1917,"Unf",1,180,"Fa","Fa","N",0,0,248,0,0,0,None,None,None,0,1,2010,"COD","Normal",107500
50,"RL",None,11700,"Pave","Grvl","IR1","HLS","AllPub","Inside","Mod","Crawfor","Norm","Norm","1Fam","1.5Fin",5,6,1937,1995,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",606,"Unf",0,336,942,"GasA","Ex","Y","SBrkr",1265,673,0,1938,0,0,2,0,4,1,"Gd",7,"Min2",1,"Gd","Detchd",1937,"Unf",1,240,"TA","TA","Y",0,40,0,0,0,0,None,None,None,0,7,2008,"WD ","Normal",198000
70,"RL",60,7200,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",6,8,1915,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Ex","CBlock","TA","TA","No","Rec",338,"Unf",0,325,663,"GasA","Ex","Y","SBrkr",774,821,0,1595,0,0,2,0,3,1,"TA",7,"Typ",1,"Gd","Detchd",1974,"Unf",2,528,"TA","TA","Y",49,0,231,0,0,0,None,None,None,0,4,2006,"WD ","Normal",155500
20,"RL",81,14267,"Pave",None,"IR1","Lvl","AllPub","Corner","Gtl","Nonemes","Norm","Norm","1Fam","1Story",6,6,1958,1958,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",108,"TA","TA","CBlock","TA","TA","No","ALQ",923,"Unf",0,406,1329,"GasA","TA","Y","SBrkr",1329,0,0,1329,0,0,1,1,3,1,"Gd",6,"Typ",0,None,"Attchd",1958,"Unf",1,312,"TA","TA","Y",393,36,0,0,0,0,None,None,"Gar2",12500,6,2010,"WD ","Normal",172000
20,"RL",110,16163,"Pave",None,"Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",232,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1618,1618,"GasA","Ex","Y","SBrkr",1618,0,0,1618,0,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2004,"Fin",3,880,"TA","TA","Y",0,0,0,0,0,0,None,None,None,0,7,2006,"WD ","Normal",252000
30,"RM",60,10800,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",4,7,1885,1995,"Mansard","CompShg","VinylSd","VinylSd","None",0,"TA","TA","BrkTil","Fa","TA","No","Unf",0,"Unf",0,641,641,"GasA","Gd","Y","SBrkr",1047,0,0,1047,0,0,1,0,2,1,"TA",6,"Typ",0,None,"Detchd",1954,"Unf",1,273,"Fa","Fa","N",0,0,0,0,0,0,None,None,"Shed",450,8,2007,"WD ","Normal",100000
80,"RL",125,14419,"Pave",None,"IR1","Lvl","AllPub","Corner","Gtl","Timber","Norm","Norm","1Fam","SLvl",7,5,1987,1989,"Hip","CompShg","Plywood","Plywood","BrkFace",310,"TA","TA","PConc","Gd","TA","Gd","GLQ",904,"ALQ",624,117,1645,"GasA","Ex","Y","SBrkr",1479,0,0,1479,2,0,2,1,3,1,"Gd",7,"Min1",1,"Fa","Attchd",1987,"Fin",2,578,"TA","TA","Y",224,238,0,0,0,0,None,None,None,0,7,2009,"WD ","Normal",213500
